x,y,node_id
0.675, 0.5, 1
0.575, 1.5, 1
0.625, 2.35, 1
0.625, 3.35, 1
0.425, 4.6, 1
0.425, 5.55, 1
0.425, 6.2, 1
0.525, 7.7, 1
0.575, 8.6, 1
0.575, 9.55, 1
1.475, 9.5, 1
2.425, 9.3, 1
3.625, 9.3, 1
4.425, 9.3, 1
5.325, 9.4, 1
6.475, 9.55, 1
7.475, 9.6, 1
8.275, 9.55, 1
9.575, 9.5, 1
10.425, 9.5, 1
10.425, 8.65, 1
10.425, 7.75, 1
10.475, 6.45, 1
10.575, 5.5, 1
10.425, 4.5, 1
10.625, 3.35, 1
10.475, 2.5, 1
10.475, 1.75, 1
10.475, 0.7, 1
9.675, 0.55, 1
8.725, 0.4, 1
7.675, 0.45, 1
6.625, 0.5, 1
5.475, 0.5, 1
4.775, 0.5, 1
3.775, 0.5, 1
3.025, 0.4, 1
1.825, 0.4, 1
1.825, 1.45, 1
1.475, 2.35, 1
1.475, 3.25, 1
1.525, 4.45, 1
1.525, 5.4, 1
1.525, 6.5, 1
1.425, 7.45, 1
1.525, 8.3, 1
2.575, 8.5, 1
3.625, 8.5, 1
4.625, 8.5, 1
5.325, 8.45, 1
6.125, 8.45, 1
7.425, 8.6, 1
8.525, 7.65, 1
9.275, 6.4, 1
9.525, 5.8, 1
9.525, 4.6, 1
9.475, 3.75, 1
9.525, 2.6, 1
9.525, 1.5, 1
8.475, 2.45, 1
7.675, 1.55, 1
6.425, 1.5, 1
5.825, 1.5, 1
4.725, 1.5, 1
3.625, 2.25, 1
2.775, 3.35, 1
2.475, 4.65, 1
2.475, 5.3, 1
3.375, 5.4, 1
4.475, 6.4, 1
5.675, 6.45, 1
6.525, 6.5, 1
7.425, 6.5, 1
7.375, 5.65, 1
7.375, 4.65, 1
7.275, 3.7, 1
6.475, 2.5, 1
5.575, 2.4, 1
4.775, 3.45, 1
4.275, 4.55, 1
5.475, 4.45, 1

